time,S,I,R
13.554114393505882,753,161,86
13.569457396542239,753,160,87
13.61841229744386,752,161,87
13.62166286695521,751,162,87
13.623808852810434,751,161,88
13.629439122357395,750,162,88
13.660366431015053,749,163,88
13.700955199872215,749,162,89
13.726453825309719,749,161,90
13.832496453273492,748,162,90
13.834891486664064,748,161,91
13.863173265938238,747,162,91
13.882486402341549,746,163,91
13.887766985724411,745,164,91
13.89950672591156,744,165,91
13.933079701339706,744,164,92
13.944602378846575,744,163,93
13.94719839327704,744,162,94
13.96640606233768,743,163,94
14.040164669087291,743,162,95
14.044177173155507,742,163,95
14.058538196136238,742,162,96
14.071924778886013,741,163,96
14.078670785943862,740,164,96
14.095054402031625,739,165,96
14.111878817242998,738,166,96
14.150937190612384,738,165,97
14.192486413301706,737,166,97
14.203239416246104,736,167,97
14.210444834841567,735,168,97
14.217609066152773,734,169,97
14.220067836086029,733,170,97
14.226198225008565,732,171,97
14.232367333704156,731,172,97
14.233548177182723,730,173,97
14.265141150017504,729,174,97
14.290481687119199,728,175,97
14.384082145392487,727,176,97
14.388773309293889,726,177,97
14.39053921474752,725,178,97
14.456915342347077,724,179,97
14.46029854298272,724,178,98
14.516346367708636,724,177,99
14.520196700387762,723,178,99
14.534507086156284,722,179,99
14.57616269176583,722,178,100
14.595052015491426,721,179,100
14.610894073015906,720,180,100
14.647688308392548,719,181,100
14.657616040179718,719,180,101
14.697166905484591,718,181,101
14.70671858471649,718,180,102
14.729631341496367,717,181,102
14.750953364824985,716,182,102
14.76731785784558,715,183,102
14.776630073528207,714,184,102
14.787931516381466,713,185,102
14.792179477778657,712,186,102
14.803490842430405,711,187,102
14.827426360866214,710,188,102
14.879534214520108,709,189,102
14.92908060204617,708,190,102
14.939635115846313,707,191,102
14.955414870473108,707,190,103
14.96215661603354,706,191,103
15.007250582889206,705,192,103
15.02600928510287,704,193,103
15.040238807748239,704,192,104
15.040992723590733,703,193,104
15.079694823596906,703,192,105
15.08030529704824,702,193,105
15.090978960396276,701,194,105
15.092712708150529,700,195,105
15.123581006558872,699,196,105
15.130876750491163,699,195,106
15.132899177717421,699,194,107
15.1525925657638,698,195,107
15.170385760412811,698,194,108
15.172112007316082,698,193,109
15.190221980502153,697,194,109
15.191858522479762,696,195,109
15.222242909424311,696,194,110
15.225903719196861,695,195,110
15.258077414169467,695,194,111
15.29877792686725,695,193,112
15.31377071086474,695,192,113
15.31894449985106,695,191,114
15.3299602934692,694,192,114
15.33697685368663,693,193,114
15.342472481223263,692,194,114
15.414027394429528,692,193,115
15.423844643306003,691,194,115
15.42488568494904,690,195,115
15.427181672551342,689,196,115
15.436114227327238,689,195,116
15.44605589249537,689,194,117
15.452082866021641,689,193,118
15.452972662457544,689,192,119
15.453679261719932,689,191,120
15.464115227025657,688,192,120
15.474739264048061,688,191,121
15.48249605531125,687,192,121
15.5033662338193,686,193,121
15.512339299505413,685,194,121
15.512512965124888,684,195,121
15.518876994804963,683,196,121
15.54454862839176,682,197,121
15.585570171745553,681,198,121
15.597346783400019,681,197,122
15.606355482378477,680,198,122
15.629191505492845,679,199,122
15.632943498021973,678,200,122
15.660865263414678,678,199,123
15.6616371297228,677,200,123
15.670316365272573,677,199,124
15.70031071858247,677,198,125
15.711875038204662,677,197,126
15.716602173806521,676,198,126
15.722796844962478,675,199,126
15.745793465796305,675,198,127
15.756681452871495,674,199,127
15.765574239193494,673,200,127
15.769660999255484,672,201,127
15.788816333651297,672,200,128
15.816428486970587,671,201,128
15.828364060252985,671,200,129
15.84289207222187,671,199,130
15.850902470135749,670,200,130
15.852799011407576,669,201,130
15.857582501603323,668,202,130
15.86753021463643,668,201,131
15.874305331310815,668,200,132
15.878965396077147,667,201,132
15.907029333645266,666,202,132
15.912617375994623,665,203,132
